Time (UTC),Plays,Streams,Consumption Hours,Followers
"8/1/2025, 24:00:00",293,204,93.46,669
"8/2/2025, 24:00:00",170,132,57.62,672
"8/3/2025, 24:00:00",157,120,64.31,678
"8/4/2025, 24:00:00",178,138,53.53,684
"8/5/2025, 24:00:00",214,167,63.35,690
"8/6/2025, 24:00:00",239,169,63.98,696
"8/7/2025, 24:00:00",182,138,48.54,700
"8/8/2025, 24:00:00",175,125,54.75,706
"8/9/2025, 24:00:00",109,77,41.87,710
"8/10/2025, 24:00:00",89,65,38.06,715
"8/11/2025, 24:00:00",151,100,47.84,721
"8/12/2025, 24:00:00",149,116,45.3,728
"8/13/2025, 24:00:00",129,86,41.61,734
"8/14/2025, 24:00:00",118,81,41.82,734
"8/15/2025, 24:00:00",78,60,21.14,738
"8/16/2025, 24:00:00",83,57,24.42,740
"8/17/2025, 24:00:00",93,62,25.89,740
"8/18/2025, 24:00:00",139,96,40.11,744
"8/19/2025, 24:00:00",153,115,48.2,822
"8/20/2025, 24:00:00",327,240,99.29,889
"8/21/2025, 24:00:00",559,438,186.1,912
"8/22/2025, 24:00:00",347,268,105.45,924
"8/23/2025, 24:00:00",337,229,96.48,935
"8/24/2025, 24:00:00",350,231,88.23,952
"8/25/2025, 24:00:00",515,366,156,977
"8/26/2025, 24:00:00",525,364,141.21,995
"8/27/2025, 24:00:00",563,353,127,1007
"8/28/2025, 24:00:00",465,297,120.71,1021
"8/29/2025, 24:00:00",380,269,97.01,1032
"8/30/2025, 24:00:00",310,190,84.41,1041
"8/31/2025, 24:00:00",283,174,63.95,1047
"9/1/2025, 24:00:00",325,206,71.19,1059
"9/2/2025, 24:00:00",407,259,94.03,1068
"9/3/2025, 24:00:00",407,250,89.94,1086
"9/4/2025, 24:00:00",371,233,73.65,1115
"9/5/2025, 24:00:00",334,235,87.41,1144
"9/6/2025, 24:00:00",306,167,63.23,1169
"9/7/2025, 24:00:00",319,202,81.33,1188
"9/8/2025, 24:00:00",435,277,102.47,1203
"9/9/2025, 24:00:00",545,352,136.1,1217
"9/10/2025, 24:00:00",613,433,193.7,1234
"9/11/2025, 24:00:00",494,354,151.36,1245
"9/12/2025, 24:00:00",404,304,128.79,1257
"9/13/2025, 24:00:00",274,199,87.18,1267
"9/14/2025, 24:00:00",414,260,121.46,1277
"9/15/2025, 24:00:00",424,283,99.7,1292
"9/16/2025, 24:00:00",382,274,107.81,1302
"9/17/2025, 24:00:00",407,284,101.2,1316
"9/18/2025, 24:00:00",351,250,103.35,1329
"9/19/2025, 24:00:00",316,215,91.81,1339
"9/20/2025, 24:00:00",205,131,55.76,1347
"9/21/2025, 24:00:00",228,152,55.07,1358
"9/22/2025, 24:00:00",362,238,99.43,1365
"9/23/2025, 24:00:00",377,241,104.93,1377
"9/24/2025, 24:00:00",307,215,89.04,1391
"9/25/2025, 24:00:00",411,280,104.63,1429
"9/26/2025, 24:00:00",704,483,219.68,1453
"9/27/2025, 24:00:00",560,395,165.4,1463
"9/28/2025, 24:00:00",457,341,157.15,1487
"9/29/2025, 24:00:00",540,401,169.4,1513
"9/30/2025, 24:00:00",640,444,187.7,1533
"10/1/2025, 24:00:00",547,415,158.38,1551
"10/2/2025, 24:00:00",455,313,121.02,1560
"10/3/2025, 24:00:00",377,267,106.56,1577
"10/4/2025, 24:00:00",292,200,89.52,1592
"10/5/2025, 24:00:00",400,250,97.77,1606
"10/6/2025, 24:00:00",632,349,119.1,1623
"10/7/2025, 24:00:00",985,520,167.14,1628
"10/8/2025, 24:00:00",468,298,108.24,1644
"10/9/2025, 24:00:00",512,305,114.43,1658
"10/10/2025, 24:00:00",362,238,94.61,1667
"10/11/2025, 24:00:00",305,187,63.23,1681
"10/12/2025, 24:00:00",254,177,72.62,1686
"10/13/2025, 24:00:00",278,197,82.67,1699
"10/14/2025, 24:00:00",476,299,112.37,1727
"10/15/2025, 24:00:00",850,573,255.41,1755
"10/16/2025, 24:00:00",847,588,267.69,1782
"10/17/2025, 24:00:00",703,481,201.27,1806
"10/18/2025, 24:00:00",567,348,155.86,1821
