Time (UTC),Streams & Downloads
"8/1/2025, 24:00:00",312
"8/2/2025, 24:00:00",160
"8/3/2025, 24:00:00",148
"8/4/2025, 24:00:00",179
"8/5/2025, 24:00:00",199
"8/6/2025, 24:00:00",199
"8/7/2025, 24:00:00",159
"8/8/2025, 24:00:00",141
"8/9/2025, 24:00:00",94
"8/10/2025, 24:00:00",86
"8/11/2025, 24:00:00",121
"8/12/2025, 24:00:00",133
"8/13/2025, 24:00:00",105
"8/14/2025, 24:00:00",103
"8/15/2025, 24:00:00",74
"8/16/2025, 24:00:00",69
"8/17/2025, 24:00:00",79
"8/18/2025, 24:00:00",110
"8/19/2025, 24:00:00",154
"8/20/2025, 24:00:00",473
"8/21/2025, 24:00:00",601
"8/22/2025, 24:00:00",349
"8/23/2025, 24:00:00",271
"8/24/2025, 24:00:00",298
"8/25/2025, 24:00:00",429
"8/26/2025, 24:00:00",421
"8/27/2025, 24:00:00",393
"8/28/2025, 24:00:00",338
"8/29/2025, 24:00:00",305
"8/30/2025, 24:00:00",212
"8/31/2025, 24:00:00",202
"9/1/2025, 24:00:00",232
"9/2/2025, 24:00:00",292
"9/3/2025, 24:00:00",293
"9/4/2025, 24:00:00",271
"9/5/2025, 24:00:00",290
"9/6/2025, 24:00:00",199
"9/7/2025, 24:00:00",233
"9/8/2025, 24:00:00",302
"9/9/2025, 24:00:00",569
"9/10/2025, 24:00:00",578
"9/11/2025, 24:00:00",432
"9/12/2025, 24:00:00",386
"9/13/2025, 24:00:00",248
"9/14/2025, 24:00:00",301
"9/15/2025, 24:00:00",330
"9/16/2025, 24:00:00",318
"9/17/2025, 24:00:00",327
"9/18/2025, 24:00:00",292
"9/19/2025, 24:00:00",248
"9/20/2025, 24:00:00",156
"9/21/2025, 24:00:00",185
"9/22/2025, 24:00:00",278
"9/23/2025, 24:00:00",268
"9/24/2025, 24:00:00",245
"9/25/2025, 24:00:00",569
"9/26/2025, 24:00:00",648
"9/27/2025, 24:00:00",477
"9/28/2025, 24:00:00",401
"9/29/2025, 24:00:00",478
"9/30/2025, 24:00:00",519
"10/1/2025, 24:00:00",481
"10/2/2025, 24:00:00",366
"10/3/2025, 24:00:00",325
"10/4/2025, 24:00:00",250
"10/5/2025, 24:00:00",299
"10/6/2025, 24:00:00",389
"10/7/2025, 24:00:00",543
"10/8/2025, 24:00:00",330
"10/9/2025, 24:00:00",332
"10/10/2025, 24:00:00",272
"10/11/2025, 24:00:00",202
"10/12/2025, 24:00:00",204
"10/13/2025, 24:00:00",239
"10/14/2025, 24:00:00",611
"10/15/2025, 24:00:00",775
"10/16/2025, 24:00:00",705
"10/17/2025, 24:00:00",550
"10/18/2025, 24:00:00",425
"10/19/2025, 24:00:00",462
"10/20/2025, 24:00:00",730
"10/21/2025, 24:00:00",767
"10/22/2025, 24:00:00",832
"10/23/2025, 24:00:00",788
"10/24/2025, 24:00:00",632
"10/25/2025, 24:00:00",516
"10/26/2025, 24:00:00",587
"10/27/2025, 24:00:00",804
"10/28/2025, 24:00:00",973
"10/29/2025, 24:00:00",1377
"10/30/2025, 24:00:00",1193
"10/31/2025, 24:00:00",807
"11/1/2025, 24:00:00",629
"11/2/2025, 24:00:00",629
"11/3/2025, 24:00:00",870
"11/4/2025, 24:00:00",898
"11/5/2025, 24:00:00",905
"11/6/2025, 24:00:00",604
"11/7/2025, 24:00:00",569
"11/8/2025, 24:00:00",455
"11/9/2025, 24:00:00",480
"11/10/2025, 24:00:00",555
"11/11/2025, 24:00:00",527
"11/12/2025, 24:00:00",501
"11/13/2025, 24:00:00",582
"11/14/2025, 24:00:00",429
"11/15/2025, 24:00:00",289
"11/16/2025, 24:00:00",271
"11/17/2025, 24:00:00",490
"11/18/2025, 24:00:00",859
"11/19/2025, 24:00:00",717
"11/20/2025, 24:00:00",404
"11/21/2025, 24:00:00",274
"11/22/2025, 24:00:00",246
"11/23/2025, 24:00:00",215
"11/24/2025, 24:00:00",286
"11/25/2025, 24:00:00",879
"11/26/2025, 24:00:00",1697
"11/27/2025, 24:00:00",1727
"11/28/2025, 24:00:00",1523
"11/29/2025, 24:00:00",1152
"11/30/2025, 24:00:00",1165
"12/1/2025, 24:00:00",1545
"12/2/2025, 24:00:00",1534
"12/3/2025, 24:00:00",1471
"12/4/2025, 24:00:00",941
"12/5/2025, 24:00:00",1190
"12/6/2025, 24:00:00",941
"12/7/2025, 24:00:00",898
"12/8/2025, 24:00:00",1200
"12/9/2025, 24:00:00",1270
"12/10/2025, 24:00:00",1177
"12/11/2025, 24:00:00",1011
"12/12/2025, 24:00:00",792
"12/13/2025, 24:00:00",586
"12/14/2025, 24:00:00",536
"12/15/2025, 24:00:00",820
"12/16/2025, 24:00:00",809
"12/17/2025, 24:00:00",1260
"12/18/2025, 24:00:00",1539
"12/19/2025, 24:00:00",1115
"12/20/2025, 24:00:00",705
"12/21/2025, 24:00:00",654
"12/22/2025, 24:00:00",726
"12/23/2025, 24:00:00",669
"12/24/2025, 24:00:00",497
"12/25/2025, 24:00:00",298
"12/26/2025, 24:00:00",428
"12/27/2025, 24:00:00",464
"12/28/2025, 24:00:00",453
"12/29/2025, 24:00:00",530
"12/30/2025, 24:00:00",1072
"12/31/2025, 24:00:00",1114
"1/1/2026, 24:00:00",749
"1/2/2026, 24:00:00",1025
"1/3/2026, 24:00:00",1230
"1/4/2026, 24:00:00",1429
"1/5/2026, 24:00:00",1541
"1/6/2026, 24:00:00",1576
"1/7/2026, 24:00:00",1426
"1/8/2026, 24:00:00",1351
"1/9/2026, 24:00:00",1170
"1/10/2026, 24:00:00",986
"1/11/2026, 24:00:00",915
"1/12/2026, 24:00:00",1127
"1/13/2026, 24:00:00",1368
"1/14/2026, 24:00:00",1252
"1/15/2026, 24:00:00",1332
"1/16/2026, 24:00:00",1035
"1/17/2026, 24:00:00",855
