Date,Content,Video title,Video publish time,Duration,Engaged views
2025-08-01,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-02,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-03,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-04,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-05,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-06,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-07,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-08,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-09,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-10,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-11,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-12,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-13,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-14,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-15,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-16,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-17,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-18,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
2025-08-19,-1aSoZ1ffTg,"Robert Greene on Ego Traps, The Art of Control, & How to Stay Irreplaceable","Oct 14, 2025",4778,0
